tournament,dates,event,player,seed,state,draw_pos,rank_lo,rank_hi,elim_round
2023 South OLC,2023-05-06/2023-05-07,BS U11,Anirudh Rudharraju,3/4,VA,9,1,1,Winner
2023 South OLC,2023-05-06/2023-05-07,BS U11,Sze Kei Wong,3/4,NJ,24,2,2,Finals
2023 South OLC,2023-05-06/2023-05-07,BS U11,Yashas Cheerlavancha,2,GA,32,3,3,Semi Finals
2023 South OLC,2023-05-06/2023-05-07,BS U11,Liam Xiao,1,NJ,1,4,4,Semi Finals
2023 South OLC,2023-05-06/2023-05-07,BS U11,Aadiv Raj,,NC,5,5,8,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,BS U11,Surya Peechara,,NC,15,5,8,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,BS U11,Sreeskandan Saravanan,,MA,20,5,8,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,BS U11,Aarav Reddy Mukkamala,,VA,26,5,8,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,BS U11,Kartik Kanchi,,NC,17,9,16,Round 2
2023 South OLC,2023-05-06/2023-05-07,BS U11,Vihaan Madam,,NC,3,17,32,Round 2
2023 South OLC,2023-05-06/2023-05-07,BS U11,Sahir Jabbar Bhuiyan,,VA,7,17,32,Round 2
2023 South OLC,2023-05-06/2023-05-07,BS U11,Arjun Rajkumar,,GA,11,17,32,Round 2
2023 South OLC,2023-05-06/2023-05-07,BS U11,Ritvik Singh,,GA,13,17,32,Round 2
2023 South OLC,2023-05-06/2023-05-07,BS U11,Amogh Lanka,,TX,16,17,32,Round 1
2023 South OLC,2023-05-06/2023-05-07,BS U11,Srihari Shyam,,NC,18,17,32,Round 1
2023 South OLC,2023-05-06/2023-05-07,BS U11,Sanjit Pravinkumar,,NC,22,17,32,Round 2
2023 South OLC,2023-05-06/2023-05-07,BS U11,Mughilan Dayalan,,NC,25,17,32,Round 1
2023 South OLC,2023-05-06/2023-05-07,BS U11,Murari Nichenametla,,NC,28,17,32,Round 2
2023 South OLC,2023-05-06/2023-05-07,BS U11,Vishwajeeth Madhavan,,OH,30,17,32,Round 2
2023 South OLC,2023-05-06/2023-05-07,GS U11,Krishnavi Kasu,,GA,14,1,1,Winner
2023 South OLC,2023-05-06/2023-05-07,GS U11,Trisha N Mehta,1,MA,1,2,2,Finals
2023 South OLC,2023-05-06/2023-05-07,GS U11,Alaina Benjamin,,VA,12,3,3,Semi Finals
2023 South OLC,2023-05-06/2023-05-07,GS U11,Nimeesha Sreeramula,,GA,5,4,4,Semi Finals
2023 South OLC,2023-05-06/2023-05-07,GS U11,Crystal Yao,,NJ,9,5,8,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,GS U11,Adhyasri Baburaj,,NC,3,9,16,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,GS U11,Snigdha Peddineni,,NC,7,9,16,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,GS U11,Samyutha Aluri,,NC,10,9,16,Round 1
2023 South OLC,2023-05-06/2023-05-07,GS U11,Samyuktha Tadinada,2,NC,16,9,16,Quarter Finals
2023 South OLC,2023-05-06/2023-05-07,XD U11,Anirudh RudharrajuVindhya Chekuru,,VAVA,12,1,1,Winner
